wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2021	6	24
enwiki	anonymous	n/a	ClueBot NG	12	6	2022	9	27
fawiki	anonymous	n/a	Dexbot	23	7	2022	11	7
enwiki	registered	0-99	ClueBot NG	8	5	2023	6	17
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2022	7	25
ruwiki	anonymous	n/a	Рейму Хакурей	11	5	2022	6	11
enwiki	anonymous	n/a	ClueBot NG	5	3	2022	5	4
enwiki	anonymous	n/a	ClueBot NG	9	2	2022	9	28
frwiki	anonymous	n/a	Salebot	4	2	2021	5	15
ruwiki	anonymous	n/a	Рейму Хакурей	12	7	2021	5	13
eswiki	registered	0-99	SeroBOT	9	7	2020	8	11
enwiki	anonymous	n/a	ClueBot NG	10	2	2020	7	12
eswiki	registered	0-99	SeroBOT	12	9	2021	3	25
eswiki	registered	500+	SeroBOT	3	3	2020	8	24
frwiki	anonymous	n/a	Salebot	4	2	2021	10	16
eswiki	registered	100-499	SeroBOT	1	1	2020	8	14
enwiki	registered	0-99	ClueBot NG	2	0	2023	1	12
ruwiki	registered	0-99	Рейму Хакурей	1	1	2023	3	7
frwiki	registered	0-99	Salebot	1	1	2023	5	10
frwiki	registered	0-99	Salebot	2	1	2021	8	29
bgwiki	anonymous	n/a	PSS 9	1	1	2020	10	2
eswiki	registered	100-499	SeroBOT	1	1	2021	6	19
bgwiki	registered	0-99	PSS 9	1	1	2022	7	11
enwiki	anonymous	n/a	ClueBot NG	34	14	2020	8	30
eswiki	anonymous	n/a	SeroBOT	81	52	2021	4	26
enwiki	anonymous	n/a	ClueBot NG	49	27	2021	9	21
enwiki	anonymous	n/a	ClueBot NG	36	12	2021	10	30
eswiki	anonymous	n/a	SeroBOT	113	68	2021	4	29
ruwiki	anonymous	n/a	Рейму Хакурей	6	4	2021	8	30
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2020	11	18
eswiki	anonymous	n/a	SeroBOT	62	32	2021	12	15
eswiki	registered	0-99	SeroBOT	4	2	2023	3	8
eswiki	registered	0-99	SeroBOT	5	4	2023	6	17
frwiki	registered	0-99	Salebot	2	2	2021	7	30
enwiki	anonymous	n/a	ClueBot NG	36	11	2020	12	17
ruwiki	anonymous	n/a	Рейму Хакурей	8	3	2021	6	27
simplewiki	anonymous	n/a	ChenzwBot	2	0	2020	7	31
eswiki	anonymous	n/a	SeroBOT	13	7	2023	6	10
eswiki	registered	0-99	SeroBOT	7	4	2023	5	30
frwiki	registered	0-99	Salebot	4	1	2020	10	20
frwiki	anonymous	n/a	Salebot	2	0	2021	2	27
ruwiki	anonymous	n/a	Рейму Хакурей	9	3	2021	4	2
frwiki	anonymous	n/a	Salebot	4	0	2021	10	12
frwiki	anonymous	n/a	Salebot	4	0	2021	1	4
enwiki	registered	0-99	ClueBot NG	3	2	2023	6	27
ruwiki	anonymous	n/a	Рейму Хакурей	5	1	2020	7	24
frwiki	anonymous	n/a	Salebot	5	4	2020	11	21
ruwiki	anonymous	n/a	Рейму Хакурей	10	1	2022	3	2
enwiki	registered	0-99	ClueBot NG	4	1	2023	2	6
ruwiki	anonymous	n/a	Рейму Хакурей	5	0	2020	7	1
frwiki	anonymous	n/a	Salebot	3	2	2021	9	22
simplewiki	anonymous	n/a	ChenzwBot	2	2	2023	4	26
enwiki	anonymous	n/a	ClueBot NG	10	4	2022	5	17
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	9	14
enwiki	registered	0-99	ClueBot NG	1	0	2022	5	8
enwiki	anonymous	n/a	ClueBot NG	7	2	2022	11	5
frwiki	anonymous	n/a	Salebot	4	3	2020	12	11
simplewiki	anonymous	n/a	ChenzwBot	4	4	2022	2	2
frwiki	registered	0-99	Salebot	2	2	2023	3	11
