wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
eswiki	anonymous	n/a	SeroBOT	68	39	2020	8	10
eswiki	anonymous	n/a	SeroBOT	51	26	2023	2	23
eswiki	anonymous	n/a	SeroBOT	73	46	2022	1	4
simplewiki	anonymous	n/a	ChenzwBot	3	3	2023	3	21
eswiki	anonymous	n/a	SeroBOT	40	22	2023	6	2
ruwiki	anonymous	n/a	Рейму Хакурей	13	5	2021	7	15
enwiki	registered	0-99	ClueBot NG	10	3	2020	7	2
enwiki	registered	0-99	ClueBot NG	10	2	2021	5	24
eswiki	anonymous	n/a	SeroBOT	66	33	2022	2	17
eswiki	registered	0-99	SeroBOT	20	20	2023	3	18
ruwiki	anonymous	n/a	Рейму Хакурей	12	5	2021	9	30
enwiki	registered	0-99	ClueBot NG	16	9	2020	12	28
eswiki	anonymous	n/a	SeroBOT	79	48	2022	10	17
enwiki	anonymous	n/a	ClueBot NG	38	15	2020	9	8
enwiki	anonymous	n/a	ClueBot NG	24	10	2021	9	18
ruwiki	anonymous	n/a	Рейму Хакурей	8	0	2020	11	13
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2021	12	16
enwiki	anonymous	n/a	ClueBot NG	34	11	2020	8	16
enwiki	registered	0-99	ClueBot NG	6	3	2022	3	21
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	9	9
frwiki	registered	0-99	Salebot	1	1	2023	6	3
bgwiki	anonymous	n/a	PSS 9	1	0	2021	4	30
frwiki	anonymous	n/a	Salebot	3	1	2020	11	17
frwiki	anonymous	n/a	Salebot	8	4	2021	2	6
enwiki	registered	0-99	ClueBot NG	1	0	2022	7	9
frwiki	anonymous	n/a	Salebot	5	3	2021	10	5
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	6	16
bgwiki	anonymous	n/a	PSS 9	1	1	2022	11	16
bgwiki	registered	0-99	PSS 9	1	0	2022	8	19
eswiki	registered	0-99	SeroBOT	11	6	2021	6	17
eswiki	anonymous	n/a	SeroBOT	117	75	2021	6	9
eswiki	anonymous	n/a	SeroBOT	110	78	2021	6	10
eswiki	anonymous	n/a	SeroBOT	70	46	2022	10	19
eswiki	anonymous	n/a	SeroBOT	32	20	2023	1	17
ruwiki	anonymous	n/a	Рейму Хакурей	13	7	2022	5	1
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2023	1	9
enwiki	registered	0-99	ClueBot NG	13	6	2021	12	28
ruwiki	anonymous	n/a	Рейму Хакурей	10	2	2021	4	30
eswiki	registered	0-99	SeroBOT	13	7	2021	5	2
bgwiki	anonymous	n/a	PSS 9	1	0	2023	4	19
frwiki	anonymous	n/a	Salebot	3	2	2020	9	27
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2021	5	20
enwiki	anonymous	n/a	ClueBot NG	10	3	2022	9	9
enwiki	registered	0-99	ClueBot NG	11	7	2022	12	1
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2021	6	12
frwiki	anonymous	n/a	Salebot	1	0	2022	3	5
ruwiki	anonymous	n/a	Рейму Хакурей	3	2	2020	10	1
ruwiki	registered	0-99	Рейму Хакурей	2	2	2022	9	11
eswiki	registered	500+	SeroBOT	2	2	2020	12	13
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2023	6	3
simplewiki	anonymous	n/a	ChenzwBot	5	4	2022	4	2
ruwiki	anonymous	n/a	Рейму Хакурей	11	0	2021	11	24
eswiki	registered	0-99	SeroBOT	5	1	2022	9	22
simplewiki	anonymous	n/a	ChenzwBot	4	4	2020	7	15
enwiki	anonymous	n/a	ClueBot NG	56	26	2021	2	25
enwiki	registered	0-99	ClueBot NG	5	2	2022	4	16
eswiki	anonymous	n/a	SeroBOT	67	34	2021	7	13
eswiki	anonymous	n/a	SeroBOT	80	49	2021	8	5
enwiki	anonymous	n/a	ClueBot NG	33	12	2021	6	27
eswiki	anonymous	n/a	SeroBOT	58	23	2022	8	26
eswiki	anonymous	n/a	SeroBOT	32	17	2023	5	20
eswiki	anonymous	n/a	SeroBOT	62	33	2023	3	13
ruwiki	anonymous	n/a	Рейму Хакурей	12	5	2022	11	16
enwiki	anonymous	n/a	ClueBot NG	47	11	2020	10	21
eswiki	registered	0-99	SeroBOT	3	1	2021	12	4
eswiki	anonymous	n/a	SeroBOT	35	21	2022	12	9
frwiki	anonymous	n/a	Salebot	15	15	2022	4	28
ruwiki	anonymous	n/a	Рейму Хакурей	9	3	2020	9	24
ruwiki	anonymous	n/a	Рейму Хакурей	10	4	2022	5	26
enwiki	registered	0-99	ClueBot NG	12	4	2020	12	1
eswiki	registered	0-99	SeroBOT	15	6	2023	6	7
eswiki	anonymous	n/a	SeroBOT	54	34	2022	7	26
rowiki	anonymous	n/a	PatrocleBot	6	5	2022	8	28
fawiki	anonymous	n/a	Dexbot	31	12	2022	9	12
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2023	5	27
simplewiki	anonymous	n/a	ChenzwBot	12	1	2023	3	6
ruwiki	registered	0-99	Рейму Хакурей	2	2	2022	12	15
enwiki	registered	0-99	ClueBot NG	9	1	2022	2	27
enwiki	anonymous	n/a	ClueBot NG	4	1	2022	7	29
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2021	9	2
simplewiki	anonymous	n/a	ChenzwBot	4	4	2021	6	9
ruwiki	anonymous	n/a	Рейму Хакурей	12	2	2022	6	6
ruwiki	anonymous	n/a	Рейму Хакурей	10	5	2023	3	15
simplewiki	registered	0-99	ChenzwBot	1	1	2022	6	9
ruwiki	anonymous	n/a	Рейму Хакурей	9	5	2022	7	7
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	1	13
ruwiki	registered	0-99	Рейму Хакурей	2	0	2021	10	18
eswiki	registered	100-499	SeroBOT	1	1	2021	5	14
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	6	20
enwiki	registered	0-99	ClueBot NG	17	4	2022	1	31
enwiki	anonymous	n/a	ClueBot NG	20	8	2021	9	30
bgwiki	registered	0-99	PSS 9	1	1	2022	6	5
eswiki	anonymous	n/a	SeroBOT	99	46	2021	5	11
enwiki	registered	0-99	ClueBot NG	17	9	2020	7	18
eswiki	anonymous	n/a	SeroBOT	58	29	2021	12	21
ruwiki	anonymous	n/a	Рейму Хакурей	6	4	2022	11	14
eswiki	anonymous	n/a	SeroBOT	73	54	2021	2	6
enwiki	registered	0-99	ClueBot NG	13	6	2022	1	3
simplewiki	anonymous	n/a	ChenzwBot	2	2	2022	6	8
simplewiki	anonymous	n/a	ChenzwBot	8	7	2020	9	23
enwiki	registered	0-99	ClueBot NG	23	10	2021	4	7
enwiki	anonymous	n/a	ClueBot NG	8	3	2022	10	7
ruwiki	anonymous	n/a	Рейму Хакурей	9	6	2021	7	28
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2021	7	6
ruwiki	registered	0-99	Рейму Хакурей	2	0	2022	8	19
enwiki	anonymous	n/a	ClueBot NG	8	4	2022	12	26
eswiki	registered	500+	SeroBOT	1	0	2023	5	22
eswiki	registered	0-99	SeroBOT	9	7	2022	10	31
frwiki	registered	0-99	Salebot	1	1	2022	9	18
enwiki	registered	0-99	ClueBot NG	16	6	2021	11	11
enwiki	anonymous	n/a	ClueBot NG	13	4	2022	11	24
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	4	17
frwiki	anonymous	n/a	Salebot	4	1	2023	4	3
frwiki	anonymous	n/a	Salebot	1	0	2020	12	9
enwiki	registered	0-99	ClueBot NG	4	1	2022	10	19
frwiki	anonymous	n/a	Salebot	1	1	2022	4	7
frwiki	anonymous	n/a	Salebot	1	0	2020	7	20
simplewiki	registered	0-99	ChenzwBot	2	1	2022	2	24
eswiki	registered	100-499	SeroBOT	1	1	2022	12	27
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	1	4
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	1	26
bgwiki	registered	0-99	PSS 9	1	0	2021	7	19
eswiki	anonymous	n/a	SeroBOT	72	44	2022	3	18
enwiki	anonymous	n/a	ClueBot NG	66	20	2021	3	1
eswiki	anonymous	n/a	SeroBOT	112	62	2020	11	25
eswiki	anonymous	n/a	SeroBOT	92	47	2021	9	10
eswiki	anonymous	n/a	SeroBOT	125	74	2021	5	25
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	2	6
enwiki	anonymous	n/a	ClueBot NG	13	5	2022	12	7
eswiki	anonymous	n/a	SeroBOT	34	21	2021	12	18
enwiki	registered	0-99	ClueBot NG	11	7	2021	8	14
simplewiki	anonymous	n/a	ChenzwBot	2	1	2021	8	23
enwiki	anonymous	n/a	ClueBot NG	36	8	2020	7	2
ruwiki	anonymous	n/a	Рейму Хакурей	10	5	2022	8	6
frwiki	anonymous	n/a	Salebot	1	0	2022	4	3
eswiki	registered	0-99	SeroBOT	7	5	2021	6	24
enwiki	anonymous	n/a	ClueBot NG	32	17	2020	10	8
frwiki	anonymous	n/a	Salebot	1	0	2021	10	17
frwiki	anonymous	n/a	Salebot	1	0	2023	4	21
ruwiki	anonymous	n/a	Рейму Хакурей	6	1	2023	4	3
eswiki	registered	0-99	SeroBOT	4	4	2023	6	19
frwiki	anonymous	n/a	Salebot	2	1	2020	8	17
eswiki	registered	0-99	SeroBOT	6	4	2020	7	23
eswiki	registered	0-99	SeroBOT	1	1	2022	12	1
simplewiki	anonymous	n/a	ChenzwBot	2	2	2023	3	2
ruwiki	registered	0-99	Рейму Хакурей	2	1	2021	2	6
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	8	30
simplewiki	registered	0-99	ChenzwBot	1	1	2021	7	11
ruwiki	registered	0-99	Рейму Хакурей	1	0	2022	6	19
eswiki	anonymous	n/a	SeroBOT	70	38	2021	1	16
fawiki	anonymous	n/a	Dexbot	34	11	2022	10	17
enwiki	anonymous	n/a	ClueBot NG	32	8	2021	2	21
eswiki	anonymous	n/a	SeroBOT	52	31	2022	9	25
frwiki	anonymous	n/a	Salebot	16	15	2022	4	29
ruwiki	anonymous	n/a	Рейму Хакурей	10	2	2022	10	12
eswiki	anonymous	n/a	SeroBOT	55	30	2021	9	19
enwiki	anonymous	n/a	ClueBot NG	29	10	2021	4	25
enwiki	registered	0-99	ClueBot NG	23	7	2021	5	14
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2022	2	13
enwiki	anonymous	n/a	ClueBot NG	34	16	2022	2	8
enwiki	registered	0-99	ClueBot NG	4	1	2022	10	6
ruwiki	anonymous	n/a	Рейму Хакурей	10	4	2021	6	29
enwiki	anonymous	n/a	ClueBot NG	13	7	2023	6	26
frwiki	anonymous	n/a	Salebot	2	0	2021	11	8
enwiki	anonymous	n/a	ClueBot NG	41	15	2021	3	9
frwiki	registered	0-99	Salebot	2	0	2021	11	26
fawiki	anonymous	n/a	Dexbot	26	9	2023	2	26
eswiki	registered	0-99	SeroBOT	15	5	2022	2	16
fawiki	anonymous	n/a	Dexbot	14	2	2022	12	6
ruwiki	registered	100-499	Рейму Хакурей	1	0	2022	3	1
enwiki	registered	0-99	ClueBot NG	2	1	2020	9	7
frwiki	anonymous	n/a	Salebot	3	0	2021	3	1
simplewiki	anonymous	n/a	ChenzwBot	1	1	2020	7	1
frwiki	anonymous	n/a	Salebot	1	0	2021	8	19
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	10	28
frwiki	anonymous	n/a	Salebot	3	1	2021	2	16
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	3	17
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	6	5
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	4	3
frwiki	anonymous	n/a	Salebot	1	0	2021	2	22
eswiki	registered	0-99	SeroBOT	7	4	2021	1	24
eswiki	anonymous	n/a	SeroBOT	91	59	2021	11	8
eswiki	anonymous	n/a	SeroBOT	62	28	2023	3	8
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	12	4
enwiki	anonymous	n/a	ClueBot NG	49	17	2021	4	9
enwiki	anonymous	n/a	ClueBot NG	8	4	2023	2	28
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2020	9	8
enwiki	anonymous	n/a	ClueBot NG	7	6	2023	5	4
eswiki	registered	0-99	SeroBOT	8	4	2021	4	30
fawiki	anonymous	n/a	Dexbot	25	3	2022	12	25
frwiki	anonymous	n/a	Salebot	6	0	2021	11	24
enwiki	registered	0-99	ClueBot NG	14	10	2021	9	1
eswiki	registered	0-99	SeroBOT	9	7	2021	8	13
enwiki	registered	0-99	ClueBot NG	6	1	2020	9	17
ruwiki	anonymous	n/a	Рейму Хакурей	3	0	2021	5	25
eswiki	anonymous	n/a	SeroBOT	43	24	2021	5	9
enwiki	registered	0-99	ClueBot NG	4	4	2022	5	10
eswiki	registered	0-99	SeroBOT	4	3	2023	3	29
enwiki	anonymous	n/a	ClueBot NG	21	13	2023	2	15
rowiki	anonymous	n/a	PatrocleBot	2	1	2023	4	14
eswiki	registered	500+	SeroBOT	1	1	2020	7	31
enwiki	registered	0-99	ClueBot NG	3	2	2023	5	15
enwiki	anonymous	n/a	ClueBot NG	5	2	2023	6	20
enwiki	registered	0-99	ClueBot NG	2	2	2023	5	25
frwiki	anonymous	n/a	Salebot	3	1	2020	12	10
enwiki	registered	0-99	ClueBot NG	6	2	2023	3	15
simplewiki	anonymous	n/a	ChenzwBot	3	3	2020	7	21
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2021	3	14
eswiki	registered	0-99	SeroBOT	3	3	2021	8	31
frwiki	registered	0-99	Salebot	1	1	2022	2	2
simplewiki	registered	0-99	ChenzwBot	1	1	2021	8	20
simplewiki	anonymous	n/a	ChenzwBot	2	2	2020	7	26
frwiki	anonymous	n/a	Salebot	1	0	2022	6	27
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	3	16
ruwiki	registered	0-99	Рейму Хакурей	1	1	2022	6	6
frwiki	anonymous	n/a	Salebot	1	1	2021	10	4
eswiki	anonymous	n/a	SeroBOT	88	55	2021	1	28
enwiki	anonymous	n/a	ClueBot NG	34	11	2020	9	4
eswiki	anonymous	n/a	SeroBOT	114	82	2020	7	27
ruwiki	anonymous	n/a	Рейму Хакурей	11	4	2022	5	17
eswiki	registered	0-99	SeroBOT	11	8	2022	9	28
eswiki	anonymous	n/a	SeroBOT	95	74	2021	12	4
ruwiki	anonymous	n/a	Рейму Хакурей	7	4	2023	5	31
enwiki	anonymous	n/a	ClueBot NG	9	2	2022	11	29
enwiki	registered	0-99	ClueBot NG	13	6	2021	3	27
enwiki	anonymous	n/a	ClueBot NG	21	6	2020	12	16
enwiki	registered	0-99	ClueBot NG	5	5	2023	5	27
eswiki	registered	0-99	SeroBOT	10	6	2022	1	20
eswiki	registered	0-99	SeroBOT	4	3	2022	1	24
frwiki	registered	0-99	Salebot	3	2	2023	6	6
frwiki	anonymous	n/a	Salebot	13	12	2023	3	6
eswiki	registered	0-99	SeroBOT	6	1	2021	6	7
enwiki	anonymous	n/a	ClueBot NG	37	15	2020	12	20
enwiki	anonymous	n/a	ClueBot NG	8	6	2023	1	10
eswiki	registered	0-99	SeroBOT	10	5	2022	2	10
frwiki	registered	0-99	Salebot	4	4	2021	12	31
frwiki	registered	0-99	Salebot	7	7	2022	2	12
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	7	23
rowiki	anonymous	n/a	PatrocleBot	1	1	2023	4	28
frwiki	anonymous	n/a	Salebot	1	1	2022	5	5
frwiki	anonymous	n/a	Salebot	1	1	2020	7	31
frwiki	registered	0-99	Salebot	1	1	2020	12	6
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	1	5
eswiki	registered	500+	SeroBOT	1	0	2022	1	29
frwiki	anonymous	n/a	Salebot	1	1	2021	11	6
enwiki	anonymous	n/a	ClueBot NG	38	10	2021	4	29
simplewiki	registered	0-99	ChenzwBot	1	1	2022	3	15
eswiki	anonymous	n/a	SeroBOT	73	49	2021	8	20
eswiki	anonymous	n/a	SeroBOT	69	39	2021	4	4
enwiki	anonymous	n/a	ClueBot NG	43	21	2021	3	7
eswiki	registered	0-99	SeroBOT	17	8	2020	9	23
eswiki	anonymous	n/a	SeroBOT	113	57	2020	9	21
eswiki	anonymous	n/a	SeroBOT	38	25	2022	7	4
enwiki	anonymous	n/a	ClueBot NG	36	10	2021	4	15
eswiki	anonymous	n/a	SeroBOT	30	15	2023	3	25
ruwiki	anonymous	n/a	Рейму Хакурей	8	1	2020	9	22
eswiki	anonymous	n/a	SeroBOT	109	51	2020	10	19
eswiki	registered	0-99	SeroBOT	16	10	2021	2	9
eswiki	registered	500+	SeroBOT	1	1	2021	3	26
eswiki	anonymous	n/a	SeroBOT	74	44	2022	1	26
eswiki	anonymous	n/a	SeroBOT	51	32	2023	5	22
frwiki	anonymous	n/a	Salebot	2	0	2021	11	15
eswiki	registered	0-99	SeroBOT	5	3	2022	3	15
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	10	27
eswiki	registered	0-99	SeroBOT	10	9	2021	2	18
enwiki	anonymous	n/a	ClueBot NG	17	9	2023	3	20
enwiki	anonymous	n/a	ClueBot NG	26	10	2021	7	19
ruwiki	anonymous	n/a	Рейму Хакурей	12	4	2022	6	13
ruwiki	anonymous	n/a	Рейму Хакурей	7	4	2022	6	1
frwiki	registered	0-99	Salebot	2	1	2021	4	27
eswiki	registered	0-99	SeroBOT	3	2	2023	2	13
ruwiki	anonymous	n/a	Рейму Хакурей	9	1	2023	3	9
simplewiki	anonymous	n/a	ChenzwBot	3	1	2022	7	20
bgwiki	registered	0-99	PSS 9	2	2	2022	11	2
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	5	1
frwiki	registered	0-99	Salebot	6	5	2022	1	21
ruwiki	anonymous	n/a	Рейму Хакурей	8	3	2021	7	16
simplewiki	registered	0-99	ChenzwBot	1	0	2022	7	25
frwiki	anonymous	n/a	Salebot	2	0	2021	9	15
bgwiki	anonymous	n/a	PSS 9	1	1	2023	2	24
frwiki	anonymous	n/a	Salebot	1	1	2021	11	25
frwiki	registered	0-99	Salebot	1	1	2021	4	9
eswiki	registered	0-99	SeroBOT	1	1	2021	3	19
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	7	30
eswiki	anonymous	n/a	SeroBOT	65	44	2022	1	21
enwiki	anonymous	n/a	ClueBot NG	25	8	2021	8	16
eswiki	anonymous	n/a	SeroBOT	70	49	2021	9	18
frwiki	registered	0-99	Salebot	2	1	2020	9	4
eswiki	anonymous	n/a	SeroBOT	53	25	2022	5	16
eswiki	registered	0-99	SeroBOT	2	0	2022	4	13
eswiki	anonymous	n/a	SeroBOT	71	39	2023	5	4
ruwiki	anonymous	n/a	Рейму Хакурей	6	3	2023	5	17
enwiki	anonymous	n/a	ClueBot NG	29	8	2020	12	8
ruwiki	anonymous	n/a	Рейму Хакурей	11	3	2021	3	10
ruwiki	anonymous	n/a	Рейму Хакурей	13	7	2021	5	9
eswiki	registered	0-99	SeroBOT	2	0	2020	12	6
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2022	10	27
ruwiki	anonymous	n/a	Рейму Хакурей	6	0	2020	10	6
enwiki	registered	0-99	ClueBot NG	8	1	2023	1	20
ruwiki	anonymous	n/a	Рейму Хакурей	4	2	2020	10	10
eswiki	registered	500+	SeroBOT	1	1	2023	4	26
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	9	15
simplewiki	anonymous	n/a	ChenzwBot	3	2	2020	10	4
frwiki	registered	0-99	Salebot	1	0	2022	3	7
frwiki	registered	0-99	Salebot	1	1	2021	6	14
simplewiki	registered	0-99	ChenzwBot	2	1	2021	4	6
frwiki	anonymous	n/a	Salebot	2	0	2021	6	8
frwiki	anonymous	n/a	Salebot	2	2	2022	9	25
eswiki	registered	0-99	SeroBOT	5	2	2021	8	8
frwiki	anonymous	n/a	Salebot	3	0	2022	5	25
eswiki	registered	100-499	SeroBOT	1	1	2021	11	24
simplewiki	anonymous	n/a	ChenzwBot	2	1	2021	10	14
eswiki	anonymous	n/a	SeroBOT	67	43	2023	4	13
eswiki	anonymous	n/a	SeroBOT	64	46	2022	5	3
enwiki	anonymous	n/a	ClueBot NG	31	14	2021	8	24
eswiki	anonymous	n/a	SeroBOT	91	57	2021	6	5
enwiki	anonymous	n/a	ClueBot NG	16	1	2022	12	5
ruwiki	anonymous	n/a	Рейму Хакурей	11	7	2021	10	16
eswiki	registered	0-99	SeroBOT	11	8	2021	10	15
eswiki	registered	0-99	SeroBOT	6	3	2021	5	30
simplewiki	anonymous	n/a	ChenzwBot	3	2	2023	6	24
enwiki	anonymous	n/a	ClueBot NG	4	2	2022	12	24
enwiki	registered	0-99	ClueBot NG	11	6	2022	3	5
enwiki	registered	0-99	ClueBot NG	7	5	2023	4	24
ruwiki	registered	0-99	Рейму Хакурей	2	2	2021	8	12
enwiki	registered	0-99	ClueBot NG	11	8	2021	9	29
eswiki	registered	0-99	SeroBOT	10	10	2023	2	26
ruwiki	anonymous	n/a	Рейму Хакурей	14	3	2020	11	20
frwiki	anonymous	n/a	Salebot	1	0	2021	4	20
simplewiki	anonymous	n/a	ChenzwBot	3	2	2023	1	6
enwiki	registered	0-99	ClueBot NG	7	3	2021	11	5
ruwiki	anonymous	n/a	Рейму Хакурей	11	2	2022	1	15
eswiki	registered	100-499	SeroBOT	5	4	2021	11	19
bgwiki	anonymous	n/a	PSS 9	1	0	2020	10	27
bgwiki	registered	0-99	PSS 9	1	1	2022	4	21
ruwiki	anonymous	n/a	Рейму Хакурей	9	6	2022	1	3
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2020	8	14
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	8	17
frwiki	registered	0-99	Salebot	1	1	2022	6	10
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	4	26
simplewiki	anonymous	n/a	ChenzwBot	1	1	2023	3	24
frwiki	registered	0-99	Salebot	1	1	2020	7	28
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	10	4
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	3	5
enwiki	anonymous	n/a	ClueBot NG	40	16	2020	11	26
eswiki	anonymous	n/a	SeroBOT	59	29	2022	5	5
enwiki	registered	0-99	ClueBot NG	22	13	2020	7	17
eswiki	anonymous	n/a	SeroBOT	67	30	2021	9	28
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2020	7	5
eswiki	anonymous	n/a	SeroBOT	31	14	2022	8	13
enwiki	anonymous	n/a	ClueBot NG	19	7	2023	2	16
enwiki	anonymous	n/a	ClueBot NG	33	11	2020	10	25
enwiki	anonymous	n/a	ClueBot NG	24	3	2020	9	21
eswiki	registered	0-99	SeroBOT	5	1	2020	11	20
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	1	22
frwiki	anonymous	n/a	Salebot	1	1	2022	4	18
ruwiki	anonymous	n/a	Рейму Хакурей	5	2	2020	11	21
enwiki	registered	0-99	ClueBot NG	19	5	2021	5	25
eswiki	registered	500+	SeroBOT	2	1	2021	12	12
eswiki	registered	0-99	SeroBOT	6	6	2021	7	5
ruwiki	registered	0-99	Рейму Хакурей	1	0	2021	5	3
enwiki	registered	0-99	ClueBot NG	3	3	2022	5	18
enwiki	anonymous	n/a	ClueBot NG	12	3	2022	11	8
frwiki	registered	0-99	Salebot	2	1	2022	9	27
eswiki	registered	0-99	SeroBOT	3	3	2022	7	22
frwiki	anonymous	n/a	Salebot	3	2	2021	5	5
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2021	1	20
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2023	2	25
eswiki	registered	0-99	SeroBOT	5	1	2022	10	13
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2023	3	17
eswiki	registered	0-99	SeroBOT	9	7	2022	11	15
enwiki	registered	0-99	ClueBot NG	7	5	2022	10	31
eswiki	registered	0-99	SeroBOT	2	1	2023	2	1
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	9	11
enwiki	anonymous	n/a	ClueBot NG	8	3	2022	10	20
eswiki	registered	0-99	SeroBOT	4	4	2021	10	3
frwiki	registered	0-99	Salebot	2	2	2023	4	30
ruwiki	registered	0-99	Рейму Хакурей	1	1	2022	3	30
eswiki	registered	500+	SeroBOT	1	1	2021	2	7
frwiki	anonymous	n/a	Salebot	1	0	2020	9	3
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	6	22
eswiki	registered	0-99	SeroBOT	3	1	2022	9	3
frwiki	registered	0-99	Salebot	1	0	2021	5	31
frwiki	anonymous	n/a	Salebot	1	0	2021	10	25
simplewiki	anonymous	n/a	ChenzwBot	1	0	2022	12	5
eswiki	registered	100-499	SeroBOT	1	0	2022	10	5
frwiki	registered	0-99	Salebot	1	1	2021	2	9
eswiki	anonymous	n/a	SeroBOT	93	47	2021	5	20
eswiki	anonymous	n/a	SeroBOT	53	26	2022	6	13
eswiki	anonymous	n/a	SeroBOT	51	32	2021	12	30
enwiki	anonymous	n/a	ClueBot NG	36	13	2020	12	6
fawiki	anonymous	n/a	Dexbot	27	9	2022	12	9
ruwiki	anonymous	n/a	Рейму Хакурей	18	10	2021	10	14
eswiki	registered	0-99	SeroBOT	11	5	2020	10	28
enwiki	registered	0-99	ClueBot NG	17	8	2022	2	15
simplewiki	anonymous	n/a	ChenzwBot	4	3	2021	6	23
eswiki	anonymous	n/a	SeroBOT	76	44	2020	12	13
fawiki	anonymous	n/a	Dexbot	21	6	2022	11	30
ruwiki	registered	0-99	Рейму Хакурей	1	0	2023	3	1
eswiki	anonymous	n/a	SeroBOT	58	41	2021	11	6
eswiki	anonymous	n/a	SeroBOT	53	24	2022	8	31
ruwiki	anonymous	n/a	Рейму Хакурей	14	5	2022	12	24
ruwiki	anonymous	n/a	Рейму Хакурей	13	7	2022	4	8
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	6	24
enwiki	anonymous	n/a	ClueBot NG	10	5	2022	3	9
enwiki	anonymous	n/a	ClueBot NG	18	5	2021	12	5
eswiki	registered	0-99	SeroBOT	2	2	2023	1	7
frwiki	registered	0-99	Salebot	1	1	2022	8	21
simplewiki	anonymous	n/a	ChenzwBot	3	2	2022	2	20
simplewiki	anonymous	n/a	ChenzwBot	3	0	2020	11	18
frwiki	anonymous	n/a	Salebot	2	0	2021	3	10
simplewiki	anonymous	n/a	ChenzwBot	1	1	2023	6	23
eswiki	registered	0-99	SeroBOT	10	9	2020	12	26
eswiki	registered	0-99	SeroBOT	8	7	2023	5	15
frwiki	anonymous	n/a	Salebot	1	1	2022	6	20
eswiki	registered	0-99	SeroBOT	9	7	2023	3	27
eswiki	registered	500+	SeroBOT	1	0	2020	11	18
bgwiki	registered	0-99	PSS 9	1	1	2022	8	24
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	7	22
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	8	14
enwiki	registered	0-99	ClueBot NG	1	0	2022	8	9
ruwiki	registered	0-99	Рейму Хакурей	1	0	2022	3	15
frwiki	registered	0-99	Salebot	1	1	2023	3	5
enwiki	registered	0-99	ClueBot NG	13	5	2020	12	30
enwiki	registered	0-99	ClueBot NG	20	9	2020	11	27
eswiki	anonymous	n/a	SeroBOT	82	38	2020	9	3
fawiki	anonymous	n/a	Dexbot	28	9	2022	11	2
eswiki	registered	0-99	SeroBOT	14	11	2022	9	17
eswiki	registered	0-99	SeroBOT	3	2	2021	7	15
eswiki	anonymous	n/a	SeroBOT	42	21	2023	5	31
frwiki	registered	0-99	Salebot	1	1	2023	2	7
frwiki	registered	0-99	Salebot	2	1	2020	10	27
enwiki	anonymous	n/a	ClueBot NG	3	0	2023	5	19
simplewiki	anonymous	n/a	ChenzwBot	3	2	2021	3	10
